May 15 19:55:37 <wavemode>	:t (<$)
May 15 19:55:38 <lambdabot>	Functor f => a -> f b -> f a
May 15 19:55:39 <wavemode>	:t (<$>)
May 15 19:55:41 <lambdabot>	Functor f => (a -> b) -> f a -> f b
May 15 19:56:00 <oats>	crestfallen: you use <$  when you want to insert a value into a functor
May 15 19:56:07 <oats>	<$> lets you map a function over it
May 15 19:56:18 <oats>	but sometimes there's just a plain value you want to put in instead
May 15 19:56:32 <oats>	% (+1) <$> Just 5
May 15 19:56:45 <wavemode>	> 5 <$ [1, 2, 3, 4]
May 15 19:56:47 <lambdabot>	 [5,5,5,5]
May 15 19:57:00 <monochrom>	Could you simply always expand <$ to its definition whenever you see it used?  After 10 times you will get it.
May 15 19:57:10 <oats>	> 5 <$ Just "howdy"
May 15 19:57:12 <lambdabot>	 Just 5
May 15 19:57:39 <monochrom>	This practical experience is much better than any wordy explanation from 3rd parties or from yourself.
May 15 19:58:04 <MarcelineVQ>	% :q
May 15 19:58:04 <yahb>	MarcelineVQ: 
May 15 19:58:21 <crestfallen>	what do you mean "expand it to its definition" monochrom ?
May 15 19:58:36 <wavemode>	(<$) = fmap . const
May 15 19:59:07 <oats>	or `value <$ functor = const value <$> functor`
May 15 19:59:17 <oats>	params can add clarity :)
May 15 19:59:23 <wavemode>	true x)
May 15 19:59:44 <crestfallen>	ok thanks never saw it till now!
May 15 19:59:44 <monochrom>	a <$ xs = fmap (const a) xs
May 15 20:00:10 <crestfallen>	> fmap (const 10) [3,4,5]
May 15 20:00:12 <lambdabot>	 [10,10,10]
May 15 20:00:17 <crestfallen>	fair enough thanks
May 15 20:01:02 <oats>	crestfallen: when in doubt, read the source and the types
May 15 20:01:15 <oats>	if it still doesn't make sense, pull up a repo
May 15 20:01:18 <oats>	*repl
May 15 20:01:24 <oats>	rinse and repeat :)
May 15 20:01:28 <monochrom>	the doc has "The default definition is fmap . const"
May 15 20:01:58 <crestfallen>	yeah I just started on typeclassopedia as per suggestion of wavemode, that's the *first* thing they cover
May 15 20:03:08 <crestfallen>	@let ff = fmap . const
May 15 20:03:09 <lambdabot>	 Defined.
May 15 20:03:26 <crestfallen>	> ff 4 [1,2,3]
May 15 20:03:28 <lambdabot>	 [4,4,4]
May 15 20:04:30 <oats>	we put the “Fun” in “Functor!”
May 15 20:05:22 <crestfallen>	I wonder if I'll finally get haskell if I go through typeclassopedia
May 15 20:05:33 <MarcelineVQ>	No
May 15 20:05:46 <MarcelineVQ>	You get haskell by writing it, not reading it.
May 15 20:05:49 <oats>	crestfallen: the best way to learn haskell is to write haskell
May 15 20:05:57 <oats>	so pick a little problem and try to solve it :)
May 15 20:06:20 <wavemode>	after the compiler has yelled at you enough times, you eventually learn how to get on its good side
May 15 20:06:24 <monochrom>	generally all of computer science.
May 15 20:06:48 <monochrom>	generally all of STEM
May 15 20:07:00 <MarcelineVQ>	keep going
May 15 20:07:55 <crestfallen>	monochrom you were talking about how some people cannot do formalism. I do like unifying types. I find that enriching. do you consider that formalism?
May 15 20:07:57 <monochrom>	generally all of STEM and painting, sculping, music, dancing
